rank,feature,original_predictor,mean_abs_shap,mean_shap
76,market_ Online Scheduling ,market,0.0,0.0
77,market_ Public Transportation ,market,0.0,0.0
78,market_ PaaS ,market,0.0,0.0
79,market_ Peer-to-Peer ,market,0.0,0.0
80,market_ Parenting ,market,0.0,0.0
81,market_ Product Design ,market,0.0,0.0
82,market_ Payments ,market,0.0,0.0
83,market_ Politics ,market,0.0,0.0
84,market_ Private Social Networking ,market,0.0,0.0
85,market_ Personal Finance ,market,0.0,0.0
86,market_ Personalization ,market,0.0,0.0
87,market_ Pets ,market,0.0,0.0
88,market_ Pharmaceuticals ,market,0.0,0.0
89,market_ Photo Editing ,market,0.0,0.0
90,market_ Photo Sharing ,market,0.0,0.0
91,market_ Privacy ,market,0.0,0.0
92,market_ Price Comparison ,market,0.0,0.0
93,market_ Online Reservations ,market,0.0,0.0
94,market_ Predictive Analytics ,market,0.0,0.0
95,country_code_AUT,country_code,0.0,0.0
96,market_ Navigation ,market,0.0,0.0
97,market_ Online Rental ,market,0.0,0.0
98,market_ MMO Games ,market,0.0,0.0
99,market_ Medical ,market,0.0,0.0
100,market_ Media ,market,0.0,0.0
101,market_ Match-Making ,market,0.0,0.0
102,market_ Marketplaces ,market,0.0,0.0
103,market_ Marketing Automation ,market,0.0,0.0
104,market_ Market Research ,market,0.0,0.0
105,market_ Maps ,market,0.0,0.0
106,market_ Mac ,market,0.0,0.0
107,market_ M2M ,market,0.0,0.0
108,market_ Medical Professionals ,market,0.0,0.0
109,market_ Loyalty Programs ,market,0.0,0.0
110,market_ Location Based Services ,market,0.0,0.0
111,market_ Local Search ,market,0.0,0.0
112,market_ Local Based Services ,market,0.0,0.0
113,market_ Local Advertising ,market,0.0,0.0
114,market_ Local ,market,0.0,0.0
115,market_ Linux ,market,0.0,0.0
116,market_ Lifestyle ,market,0.0,0.0
117,market_ Medical Devices ,market,0.0,0.0
118,market_ Meeting Software ,market,0.0,0.0
119,market_ Online Gaming ,market,0.0,0.0
120,market_ Nanotechnology ,market,0.0,0.0
121,market_ Online Dating ,market,0.0,0.0
122,market_ Oil ,market,0.0,0.0
123,market_ Nonprofits ,market,0.0,0.0
124,market_ Nightlife ,market,0.0,0.0
125,market_ Neuroscience ,market,0.0,0.0
126,market_ Network Security ,market,0.0,0.0
127,market_ RFID ,market,0.0,0.0
128,market_ Natural Language Processing ,market,0.0,0.0
129,market_ NFC ,market,0.0,0.0
130,market_ MicroBlogging ,market,0.0,0.0
131,market_ Monetization ,market,0.0,0.0
132,market_ Mobile Video ,market,0.0,0.0
133,market_ Mobile Software Tools ,market,0.0,0.0
134,market_ Mobile Social ,market,0.0,0.0
135,market_ Mobile Payments ,market,0.0,0.0
136,market_ Mobile Games ,market,0.0,0.0
137,market_ Mobile Devices ,market,0.0,0.0
138,market_ Mobile Coupons ,market,0.0,0.0
139,market_ Publishing ,market,0.0,0.0
140,market_ SaaS ,market,0.0,0.0
141,market_ Real Estate ,market,0.0,0.0
142,market_ Travel & Tourism ,market,0.0,0.0
143,market_ Video Chat ,market,0.0,0.0
144,market_ Vertical Search ,market,0.0,0.0
145,market_ Venture Capital ,market,0.0,0.0
146,market_ Vacation Rentals ,market,0.0,0.0
147,market_ Utilities ,market,0.0,0.0
148,market_ Universities ,market,0.0,0.0
149,market_ Unifed Communications ,market,0.0,0.0
150,market_ Tutoring ,market,0.0,0.0
151,market_ Trusted Networks ,market,0.0,0.0
152,market_ Travel ,market,0.0,0.0
153,market_ Real Time ,market,0.0,0.0
154,market_ Transportation ,market,0.0,0.0
155,market_ Training ,market,0.0,0.0
156,market_ Tracking ,market,0.0,0.0
157,market_ Toys ,market,0.0,0.0
158,market_ Tourism ,market,0.0,0.0
159,market_ Ticketing ,market,0.0,0.0
160,market_ Television ,market,0.0,0.0
161,market_ Telephony ,market,0.0,0.0
162,market_ Telecommunications ,market,0.0,0.0
163,market_ Video Games ,market,0.0,0.0
164,market_ Video Streaming ,market,0.0,0.0
165,market_ Video on Demand ,market,0.0,0.0
166,market_ Virtual Currency ,market,0.0,0.0
167,market_ mHealth ,market,0.0,0.0
168,market_ iPhone ,market,0.0,0.0
169,market_ iPad ,market,0.0,0.0
170,market_ iOS ,market,0.0,0.0
171,market_ World Domination ,market,0.0,0.0
172,market_ Women ,market,0.0,0.0
173,market_ Wireless ,market,0.0,0.0
174,market_ Wine And Spirits ,market,0.0,0.0
175,market_ Windows Phone 7 ,market,0.0,0.0
176,market_ WebOS ,market,0.0,0.0
177,market_ Web Tools ,market,0.0,0.0
178,market_ Web Design ,market,0.0,0.0
179,market_ Web CMS ,market,0.0,0.0
180,market_ Web Browsers ,market,0.0,0.0
181,market_ VoIP ,market,0.0,0.0
182,market_ Visual Search ,market,0.0,0.0
183,market_ Virtualization ,market,0.0,0.0
184,market_ Virtual Worlds ,market,0.0,0.0
185,market_ Virtual Goods ,market,0.0,0.0
186,market_ Technology ,market,0.0,0.0
187,market_ Tech Field Support ,market,0.0,0.0
188,market_ Task Management ,market,0.0,0.0
189,market_ Shopping ,market,0.0,0.0
190,market_ Shipping ,market,0.0,0.0
191,market_ Services ,market,0.0,0.0
192,market_ Service Providers ,market,0.0,0.0
193,market_ Sensors ,market,0.0,0.0
194,market_ Semantic Web ,market,0.0,0.0
195,market_ Semantic Search ,market,0.0,0.0
196,market_ Search Marketing ,market,0.0,0.0
197,market_ Sales and Marketing ,market,0.0,0.0
198,market_ Licensing ,market,0.0,0.0
199,market_ SNS ,market,0.0,0.0
200,market_ SMS ,market,0.0,0.0
201,market_ SEO ,market,0.0,0.0
202,market_ Risk Management ,market,0.0,0.0
203,market_ Reviews and Recommendations ,market,0.0,0.0
204,market_ Retail ,market,0.0,0.0
205,market_ Restaurants ,market,0.0,0.0
206,market_ Reputation ,market,0.0,0.0
207,market_ Recycling ,market,0.0,0.0
208,market_ Recruiting ,market,0.0,0.0
209,market_ Shoes ,market,0.0,0.0
210,market_ Small and Medium Businesses ,market,0.0,0.0
211,market_ Tablets ,market,0.0,0.0
212,market_ Social Bookmarking ,market,0.0,0.0
213,market_ Synchronization ,market,0.0,0.0
214,market_ Sustainability ,market,0.0,0.0
215,market_ Supply Chain Management ,market,0.0,0.0
216,market_ Subscription Businesses ,market,0.0,0.0
217,market_ Storage ,market,0.0,0.0
218,market_ Stock Exchanges ,market,0.0,0.0
219,market_ Sports ,market,0.0,0.0
220,market_ Speech Recognition ,market,0.0,0.0
221,market_ Spas ,market,0.0,0.0
222,market_ Solar ,market,0.0,0.0
223,market_ Social Search ,market,0.0,0.0
224,market_ Social Network Media ,market,0.0,0.0
225,market_ Social Media Monitoring ,market,0.0,0.0
226,market_ Social Media Marketing ,market,0.0,0.0
227,market_ Social Media Advertising ,market,0.0,0.0
228,market_ Social Games ,market,0.0,0.0
229,market_ Social Commerce ,market,0.0,0.0
230,market_ Social CRM ,market,0.0,0.0
231,market_ Social Buying ,market,0.0,0.0
232,market_ Life Sciences ,market,0.0,0.0
233,market_ Information Technology ,market,0.0,0.0
234,market_ Leisure ,market,0.0,0.0
235,market_ Artists Globally ,market,0.0,0.0
236,market_ Big Data Analytics ,market,0.0,0.0
237,market_ Big Data ,market,0.0,0.0
238,market_ Beauty ,market,0.0,0.0
239,market_ Banking ,market,0.0,0.0
240,market_ B2B ,market,0.0,0.0
241,market_ Automotive ,market,0.0,0.0
242,market_ Auto ,market,0.0,0.0
243,market_ Audio ,market,0.0,0.0
244,market_ Auctions ,market,0.0,0.0
245,market_ Artificial Intelligence ,market,0.0,0.0
246,market_ Ad Targeting ,market,0.0,0.0
247,market_ Art ,market,0.0,0.0
248,market_ Archiving ,market,0.0,0.0
249,market_ Architecture ,market,0.0,0.0
250,market_ Apps ,market,0.0,0.0
251,market_ Application Platforms ,market,0.0,0.0
252,market_ App Marketing ,market,0.0,0.0
253,market_ Android ,market,0.0,0.0
254,market_ Agriculture ,market,0.0,0.0
255,market_ Advice ,market,0.0,0.0
256,market_ Blogging Platforms ,market,0.0,0.0
257,market_ Brand Marketing ,market,0.0,0.0
258,market_ Browser Extensions ,market,0.0,0.0
259,market_ Business Development ,market,0.0,0.0
260,market_ Communications Hardware ,market,0.0,0.0
261,market_ Commodities ,market,0.0,0.0
262,market_ Colleges ,market,0.0,0.0
263,market_ Collaboration ,market,0.0,0.0
264,market_ Cloud Management ,market,0.0,0.0
265,market_ Cloud Data Services ,market,0.0,0.0
266,market_ Cloud Computing ,market,0.0,0.0
267,market_ Clinical Trials ,market,0.0,0.0
268,market_ Clean Energy ,market,0.0,0.0
269,market_ Classifieds ,market,0.0,0.0
270,market_ Chat ,market,0.0,0.0
271,market_ Celebrity ,market,0.0,0.0
272,market_ Cars ,market,0.0,0.0
273,market_ Career Planning ,market,0.0,0.0
274,market_ Career Management ,market,0.0,0.0
275,market_ Cable ,market,0.0,0.0
276,market_ CRM ,market,0.0,0.0
277,market_ Business Services ,market,0.0,0.0
278,market_ Business Intelligence ,market,0.0,0.0
279,market_ Advertising Platforms ,market,0.0,0.0
280,market_ Accounting ,market,0.0,0.0
281,market_ Legal ,market,0.0,0.0
282,country_code_GRC,country_code,0.0,0.0
283,country_code_LVA,country_code,0.0,0.0
284,country_code_LUX,country_code,0.0,0.0
285,country_code_LTU,country_code,0.0,0.0
286,country_code_KOR,country_code,0.0,0.0
287,country_code_JPN,country_code,0.0,0.0
288,country_code_JOR,country_code,0.0,0.0
289,country_code_IRL,country_code,0.0,0.0
290,country_code_IDN,country_code,0.0,0.0
291,country_code_HUN,country_code,0.0,0.0
292,country_code_EST,country_code,0.0,0.0
293,market_ 3D ,market,0.0,0.0
294,country_code_CZE,country_code,0.0,0.0
295,country_code_CRI,country_code,0.0,0.0
296,country_code_CHL,country_code,0.0,0.0
297,country_code_CHE,country_code,0.0,0.0
298,country_code_AUS,country_code,0.0,0.0
299,country_code_BRA,country_code,0.0,0.0
300,country_code_BMU,country_code,0.0,0.0
301,country_code_BHR,country_code,0.0,0.0
302,country_code_BGR,country_code,0.0,0.0
303,country_code_MAF,country_code,0.0,0.0
304,country_code_MEX,country_code,0.0,0.0
305,country_code_MKD,country_code,0.0,0.0
306,country_code_MYS,country_code,0.0,0.0
307,country_code_ARE,country_code,0.0,0.0
308,country_code_ZAF,country_code,0.0,0.0
309,country_code_VNM,country_code,0.0,0.0
310,country_code_ARG,country_code,0.0,0.0
311,country_code_UGA,country_code,0.0,0.0
312,country_code_TUR,country_code,0.0,0.0
313,country_code_THA,country_code,0.0,0.0
314,country_code_SVN,country_code,0.0,0.0
315,country_code_SOM,country_code,0.0,0.0
316,country_code_SGP,country_code,0.0,0.0
317,country_code_RUS,country_code,0.0,0.0
318,country_code_PRT,country_code,0.0,0.0
319,country_code_POL,country_code,0.0,0.0
320,country_code_PHL,country_code,0.0,0.0
321,country_code_PER,country_code,0.0,0.0
322,country_code_PAK,country_code,0.0,0.0
323,country_code_NZL,country_code,0.0,0.0
324,country_code_NOR,country_code,0.0,0.0
325,country_code_NLD,country_code,0.0,0.0
326,market_ Communities ,market,0.0,0.0
327,market_ Concerts ,market,0.0,0.0
328,market_ Consumer Electronics ,market,0.0,0.0
329,market_ Fraud Detection ,market,0.0,0.0
330,market_ Hardware ,market,0.0,0.0
331,market_ Guides ,market,0.0,0.0
332,market_ Group Buying ,market,0.0,0.0
333,market_ Gps ,market,0.0,0.0
334,market_ Gift Card ,market,0.0,0.0
335,market_ Game ,market,0.0,0.0
336,market_ Gambling ,market,0.0,0.0
337,market_ FreetoPlay Gaming ,market,0.0,0.0
338,market_ Freemium ,market,0.0,0.0
339,market_ Forums ,market,0.0,0.0
340,market_ Consumer Internet ,market,0.0,0.0
341,market_ Flowers ,market,0.0,0.0
342,market_ Flash Storage ,market,0.0,0.0
343,market_ Flash Sales ,market,0.0,0.0
344,market_ Fitness ,market,0.0,0.0
345,market_ Financial Services ,market,0.0,0.0
346,market_ Film ,market,0.0,0.0
347,market_ File Sharing ,market,0.0,0.0
348,market_ Fashion ,market,0.0,0.0
349,market_ Fantasy Sports ,market,0.0,0.0
350,market_ Health and Wellness ,market,0.0,0.0
351,market_ Healthcare Services ,market,0.0,0.0
352,market_ Home Decor ,market,0.0,0.0
353,market_ Homeland Security ,market,0.0,0.0
354,market_ Lead Generation ,market,0.0,0.0
355,market_ Law Enforcement ,market,0.0,0.0
356,market_ Language Learning ,market,0.0,0.0
357,market_ Kids ,market,0.0,0.0
358,market_ Journalism ,market,0.0,0.0
359,market_ Investment Management ,market,0.0,0.0
360,market_ Internet TV ,market,0.0,0.0
361,market_ Internet Marketing ,market,0.0,0.0
362,market_ Internet ,market,0.0,0.0
363,market_ Intellectual Asset Management ,market,0.0,0.0
364,market_ Infrastructure ,market,0.0,0.0
365,country_code_BEL,country_code,0.0,0.0
366,market_ Information Services ,market,0.0,0.0
367,market_ Information Security ,market,0.0,0.0
368,market_ Incentives ,market,0.0,0.0
369,market_ Image Recognition ,market,0.0,0.0
370,market_ Humanitarian ,market,0.0,0.0
371,market_ Hotels ,market,0.0,0.0
372,market_ Hospitality ,market,0.0,0.0
373,market_ Facebook Applications ,market,0.0,0.0
374,market_ Events ,market,0.0,0.0
375,market_ Entrepreneur ,market,0.0,0.0
376,market_ Developer APIs ,market,0.0,0.0
377,market_ Demographies ,market,0.0,0.0
378,market_ Databases ,market,0.0,0.0
379,market_ Data Security ,market,0.0,0.0
380,market_ Data Privacy ,market,0.0,0.0
381,market_ Data Mining ,market,0.0,0.0
382,market_ Data Integration ,market,0.0,0.0
383,market_ Data Centers ,market,0.0,0.0
384,market_ DIY ,market,0.0,0.0
385,market_ Customer Support Tools ,market,0.0,0.0
386,market_ Customer Service ,market,0.0,0.0
387,market_ Crowdsourcing ,market,0.0,0.0
388,market_ Credit Cards ,market,0.0,0.0
389,market_ Coupons ,market,0.0,0.0
390,market_ Cosmetics ,market,0.0,0.0
391,market_ Cooking ,market,0.0,0.0
392,market_ Contests ,market,0.0,0.0
393,market_ Content ,market,0.0,0.0
394,market_ Contact Management ,market,0.0,0.0
395,market_ Consumers ,market,0.0,0.0
396,market_ Design ,market,0.0,0.0
397,market_ Diabetes ,market,0.0,0.0
398,market_ Entertainment ,market,0.0,0.0
399,market_ Diagnostics ,market,0.0,0.0
400,market_ Enterprises ,market,0.0,0.0
401,market_ Energy Management ,market,0.0,0.0
402,market_ Energy Efficiency ,market,0.0,0.0
403,market_ Energy ,market,0.0,0.0
404,market_ Employment ,market,0.0,0.0
405,market_ Emerging Markets ,market,0.0,0.0
406,market_ Email Marketing ,market,0.0,0.0
407,market_ Email ,market,0.0,0.0
408,market_ Electronics ,market,0.0,0.0
409,market_ Electronic Health Records ,market,0.0,0.0
410,market_ Ediscovery ,market,0.0,0.0
411,market_ E-Commerce Platforms ,market,0.0,0.0
412,market_ E-Books ,market,0.0,0.0
413,market_ Document Management ,market,0.0,0.0
414,market_ Doctors ,market,0.0,0.0
415,market_ Distribution ,market,0.0,0.0
416,market_ Displays ,market,0.0,0.0
417,market_ Discounts ,market,0.0,0.0
418,market_ Digital Rights Management ,market,0.0,0.0
419,market_ Home & Garden ,market,0.0,0.0
